,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,purpose,addr_state,dti,delinq_2yrs,earliest_cr_line,fico_range_low,fico_range_high,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,last_fico_range_high,last_fico_range_low,pub_rec_bankruptcies,debt_settlement_flag
35,7000.0,7000.0,7000.0, 36 months, 15.96%,245.97,C,C5,7 years,RENT,34000.0,Source Verified,Dec-2011,Fully Paid,credit_card,CA,6.35,0.0,2007-10-01 00:00:00,675.0,679.0,1.0,6.0,0.0,6113.0,60.5,754.0,750.0,0.0,N
36,12400.0,12400.0,12400.0, 36 months, 10.65%,403.91,B,B2,10+ years,RENT,41000.0,Not Verified,Dec-2011,Fully Paid,credit_card,KY,11.8,0.0,2005-07-01 00:00:00,720.0,724.0,2.0,9.0,0.0,11095.0,57.2,724.0,720.0,0.0,N
37,10800.0,10800.0,10800.0, 36 months,  9.91%,348.03,B,B1,2 years,RENT,55596.0,Source Verified,Dec-2011,Fully Paid,moving,CA,5.5,0.0,2000-12-01 00:00:00,705.0,709.0,0.0,7.0,0.0,2535.0,13.3,709.0,705.0,0.0,N
38,15000.0,15000.0,15000.0, 36 months,  7.90%,469.36,A,A4,1 year,RENT,45000.0,Verified,Dec-2011,Fully Paid,debt_consolidation,OH,8.48,0.0,2004-11-01 00:00:00,730.0,734.0,0.0,7.0,0.0,6704.0,50.4,604.0,600.0,0.0,N
39,6000.0,6000.0,6000.0, 36 months, 12.42%,200.5,B,B4,1 year,RENT,36852.0,Source Verified,Dec-2011,Fully Paid,debt_consolidation,AZ,10.62,0.0,2007-04-01 00:00:00,695.0,699.0,1.0,7.0,0.0,7310.0,66.5,724.0,720.0,0.0,N
40,12500.0,12500.0,12475.0, 60 months, 12.69%,282.44,B,B5,1 year,RENT,27000.0,Verified,Dec-2011,Fully Paid,debt_consolidation,IL,16.04,0.0,2001-12-01 00:00:00,735.0,739.0,3.0,6.0,0.0,10143.0,50.0,614.0,610.0,0.0,N
41,9600.0,9600.0,9600.0, 36 months,  7.51%,298.67,A,A3,4 years,RENT,68004.0,Source Verified,Dec-2011,Fully Paid,other,SC,6.63,0.0,2003-01-01 00:00:00,760.0,764.0,0.0,6.0,0.0,2896.0,18.1,829.0,825.0,0.0,N
42,12000.0,12000.0,12000.0, 36 months,  7.90%,375.49,A,A4,10+ years,RENT,62300.0,Not Verified,Dec-2011,Fully Paid,debt_consolidation,NJ,16.7,0.0,1994-03-01 00:00:00,725.0,729.0,0.0,15.0,0.0,8601.0,21.0,704.0,700.0,0.0,N
43,3000.0,3000.0,3000.0, 36 months, 18.25%,108.84,D,D5,9 years,MORTGAGE,65000.0,Not Verified,Dec-2011,Fully Paid,other,PA,17.39,0.0,1998-09-01 00:00:00,670.0,674.0,0.0,8.0,0.0,43936.0,98.1,694.0,690.0,0.0,N
44,4400.0,4400.0,4400.0, 36 months, 16.77%,156.37,D,D2,10+ years,RENT,55000.0,Not Verified,Dec-2011,Fully Paid,debt_consolidation,RI,20.01,0.0,2004-06-01 00:00:00,690.0,694.0,0.0,7.0,0.0,25237.0,99.0,594.0,590.0,0.0,N
45,6000.0,6000.0,6000.0, 36 months,  6.03%,182.62,A,A1,10+ years,MORTGAGE,45600.0,Not Verified,Dec-2011,Fully Paid,debt_consolidation,LA,5.34,0.0,1995-11-01 00:00:00,790.0,794.0,1.0,6.0,0.0,3378.0,32.5,784.0,780.0,0.0,N
46,14000.0,14000.0,14000.0, 36 months,  9.91%,451.15,B,B1,6 years,RENT,80000.0,Not Verified,Dec-2011,Fully Paid,small_business,MA,10.0,0.0,1999-07-01 00:00:00,725.0,729.0,1.0,7.0,0.0,2219.0,13.4,704.0,700.0,0.0,N
47,5000.0,5000.0,5000.0, 36 months,  8.90%,158.77,A,A5,10+ years,MORTGAGE,100000.0,Source Verified,Dec-2011,Charged Off,debt_consolidation,OH,16.33,0.0,1995-06-01 00:00:00,705.0,709.0,0.0,17.0,0.0,74351.0,62.1,639.0,635.0,0.0,N
48,10000.0,10000.0,10000.0, 36 months, 10.65%,325.74,B,B2,6 years,RENT,27000.0,Verified,Dec-2011,Fully Paid,other,NY,11.47,0.0,2006-11-01 00:00:00,700.0,704.0,0.0,7.0,0.0,7814.0,52.3,659.0,655.0,0.0,N
49,10000.0,10000.0,10000.0, 36 months,  6.03%,304.36,A,A1,10+ years,RENT,60000.0,Not Verified,Dec-2011,Fully Paid,credit_card,CT,12.74,0.0,1992-09-01 00:00:00,790.0,794.0,1.0,11.0,0.0,14019.0,19.5,789.0,785.0,0.0,N
50,11000.0,11000.0,11000.0, 36 months,  6.62%,337.75,A,A2,5 years,RENT,70000.0,Not Verified,Dec-2011,Fully Paid,debt_consolidation,CT,10.85,0.0,2002-01-01 00:00:00,750.0,754.0,0.0,5.0,0.0,11638.0,36.4,799.0,795.0,0.0,N
51,15000.0,15000.0,15000.0, 36 months,  9.91%,483.38,B,B1,8 years,MORTGAGE,80000.0,Not Verified,Dec-2011,Charged Off,debt_consolidation,IL,9.12,0.0,1992-04-01 00:00:00,730.0,734.0,2.0,9.0,0.0,11845.0,63.7,614.0,610.0,0.0,N
52,25600.0,25600.0,25350.0, 36 months,  9.91%,824.96,B,B1,9 years,RENT,110000.0,Verified,Dec-2011,Fully Paid,credit_card,CA,15.71,0.0,1999-07-01 00:00:00,725.0,729.0,0.0,11.0,0.0,26088.0,62.0,679.0,675.0,0.0,N
53,7000.0,7000.0,7000.0, 36 months, 10.65%,228.02,B,B2,< 1 year,RENT,40000.0,Not Verified,Dec-2011,Fully Paid,debt_consolidation,CA,7.38,0.0,2004-04-01 00:00:00,700.0,704.0,0.0,7.0,0.0,12168.0,92.9,699.0,695.0,0.0,N
54,12000.0,12000.0,12000.0, 36 months, 15.96%,421.65,C,C5,4 years,RENT,50000.0,Not Verified,Dec-2011,Charged Off,car,CA,20.88,0.0,2006-10-01 00:00:00,675.0,679.0,2.0,11.0,0.0,15793.0,90.8,619.0,615.0,0.0,N
55,12000.0,12000.0,12000.0, 36 months,  9.91%,386.7,B,B1,1 year,RENT,46000.0,Not Verified,Dec-2011,Fully Paid,credit_card,TX,8.11,0.0,2000-05-01 00:00:00,730.0,734.0,1.0,11.0,0.0,12143.0,52.1,804.0,800.0,0.0,N
56,21000.0,21000.0,20975.0, 60 months, 19.91%,555.33,E,E4,7 years,RENT,50000.0,Verified,Dec-2011,Charged Off,debt_consolidation,WA,21.58,0.0,1998-09-01 00:00:00,680.0,684.0,1.0,7.0,0.0,19448.0,97.6,624.0,620.0,0.0,N
57,16000.0,16000.0,15950.0, 60 months, 19.91%,423.11,E,E4,7 years,RENT,81000.0,Verified,Dec-2011,Fully Paid,credit_card,MA,20.52,0.0,1998-12-01 00:00:00,665.0,669.0,3.0,12.0,0.0,27884.0,75.1,699.0,695.0,0.0,N
58,10000.0,10000.0,10000.0, 36 months, 12.42%,334.16,B,B4,< 1 year,OWN,39000.0,Not Verified,Dec-2011,Fully Paid,debt_consolidation,OR,18.58,0.0,2004-12-01 00:00:00,685.0,689.0,0.0,5.0,0.0,12874.0,72.7,689.0,685.0,0.0,N
59,10000.0,10000.0,10000.0, 36 months, 10.65%,325.74,B,B2,2 years,RENT,51400.0,Not Verified,Dec-2011,Fully Paid,credit_card,TX,19.14,0.0,2000-10-01 00:00:00,715.0,719.0,3.0,10.0,0.0,10160.0,59.1,749.0,745.0,0.0,N
60,7100.0,7100.0,7100.0, 36 months, 16.77%,252.33,D,D2,1 year,MORTGAGE,33000.0,Verified,Dec-2011,Fully Paid,debt_consolidation,TX,24.0,0.0,2007-04-01 00:00:00,680.0,684.0,2.0,4.0,0.0,6021.0,91.2,524.0,520.0,0.0,N
61,13000.0,13000.0,13000.0, 60 months, 12.69%,293.74,B,B5,< 1 year,MORTGAGE,30000.0,Source Verified,Dec-2011,Fully Paid,debt_consolidation,NJ,13.72,0.0,2002-05-01 00:00:00,730.0,734.0,0.0,17.0,0.0,17080.0,58.9,709.0,705.0,0.0,N
62,17500.0,8950.0,8925.0, 60 months, 17.27%,223.74,D,D3,6 years,RENT,40000.0,Verified,Dec-2011,Fully Paid,small_business,CA,19.47,0.0,2006-05-01 00:00:00,705.0,709.0,1.0,5.0,0.0,10724.0,58.9,664.0,660.0,0.0,N
63,17675.0,17675.0,17675.0, 60 months, 14.65%,417.25,C,C3,< 1 year,RENT,50000.0,Source Verified,Dec-2011,Fully Paid,debt_consolidation,WI,16.46,0.0,2002-07-01 00:00:00,720.0,724.0,2.0,6.0,0.0,6661.0,57.4,599.0,595.0,0.0,N
64,8000.0,8000.0,8000.0, 36 months, 16.77%,284.31,D,D2,< 1 year,RENT,62000.0,Not Verified,Dec-2011,Fully Paid,debt_consolidation,VA,21.64,0.0,2006-07-01 00:00:00,660.0,664.0,3.0,14.0,0.0,6088.0,66.9,574.0,570.0,0.0,N
65,10000.0,10000.0,9975.0, 60 months, 10.65%,215.69,B,B2,10+ years,RENT,45996.0,Verified,Dec-2011,Charged Off,debt_consolidation,OH,21.73,0.0,1997-05-01 00:00:00,755.0,759.0,1.0,7.0,0.0,11170.0,30.1,629.0,625.0,0.0,N
66,3500.0,3500.0,3500.0, 36 months, 10.65%,114.01,B,B2,7 years,MORTGAGE,55000.0,Not Verified,Dec-2011,Fully Paid,debt_consolidation,OH,5.39,0.0,2005-10-01 00:00:00,700.0,704.0,1.0,9.0,0.0,6611.0,45.9,659.0,655.0,0.0,N
67,12500.0,8925.0,8925.0, 60 months, 17.27%,223.11,D,D3,5 years,RENT,30000.0,Source Verified,Dec-2011,Charged Off,debt_consolidation,MN,13.16,0.0,1995-04-01 00:00:00,690.0,694.0,0.0,7.0,1.0,9844.0,70.8,654.0,650.0,1.0,N
68,16425.0,16425.0,16425.0, 36 months, 14.27%,563.53,C,C2,4 years,RENT,44544.0,Source Verified,Dec-2011,Fully Paid,debt_consolidation,CA,22.71,0.0,2002-10-01 00:00:00,695.0,699.0,1.0,10.0,0.0,15747.0,83.4,609.0,605.0,0.0,N
69,8200.0,8200.0,8200.0, 60 months, 21.28%,223.14,F,F2,4 years,RENT,75000.0,Source Verified,Dec-2011,Charged Off,small_business,CA,12.48,0.0,2000-01-01 00:00:00,675.0,679.0,3.0,6.0,0.0,9012.0,73.9,684.0,680.0,0.0,N
70,15000.0,15000.0,15000.0, 36 months, 14.65%,517.42,C,C3,2 years,OWN,61000.0,Verified,Dec-2011,Fully Paid,credit_card,FL,11.88,0.0,2004-06-01 00:00:00,685.0,689.0,1.0,8.0,0.0,19397.0,79.5,699.0,695.0,0.0,N
71,20975.0,13575.0,13550.0, 60 months, 17.58%,341.63,D,D4,5 years,MORTGAGE,44000.0,Verified,Dec-2011,Fully Paid,credit_card,GA,18.79,0.0,2000-04-01 00:00:00,685.0,689.0,0.0,13.0,1.0,20657.0,79.4,679.0,675.0,1.0,N
72,6400.0,6400.0,6400.0, 36 months, 16.77%,227.45,D,D2,5 years,RENT,75000.0,Not Verified,Dec-2011,Charged Off,debt_consolidation,CA,20.22,0.0,1994-12-01 00:00:00,660.0,664.0,0.0,9.0,0.0,7159.0,67.5,499.0,0.0,0.0,N
73,3000.0,3000.0,3000.0, 36 months, 13.49%,101.8,C,C1,1 year,RENT,33600.0,Not Verified,Dec-2011,Fully Paid,debt_consolidation,AL,18.11,0.0,2005-10-01 00:00:00,670.0,674.0,0.0,4.0,0.0,2745.0,83.2,574.0,570.0,0.0,N
74,12000.0,12000.0,12000.0, 36 months, 16.77%,426.47,D,D2,3 years,RENT,50000.0,Not Verified,Dec-2011,Fully Paid,credit_card,MA,20.57,0.0,2005-09-01 00:00:00,675.0,679.0,1.0,13.0,0.0,11443.0,97.0,669.0,665.0,0.0,N
75,14400.0,14400.0,14400.0, 36 months,  8.90%,457.25,A,A5,< 1 year,OWN,150000.0,Source Verified,Dec-2011,Fully Paid,debt_consolidation,NY,14.85,0.0,1994-12-01 00:00:00,720.0,724.0,0.0,12.0,0.0,63864.0,55.0,689.0,685.0,0.0,N
76,12000.0,12000.0,12000.0, 36 months, 14.65%,413.94,C,C3,10+ years,RENT,90000.0,Not Verified,Dec-2011,Fully Paid,debt_consolidation,NJ,16.56,0.0,1984-12-01 00:00:00,675.0,679.0,2.0,12.0,0.0,17116.0,78.5,649.0,645.0,0.0,N
77,11000.0,11000.0,11000.0, 36 months, 13.49%,373.24,C,C1,10+ years,MORTGAGE,48000.0,Verified,Dec-2011,Fully Paid,debt_consolidation,TX,21.82,0.0,1999-12-01 00:00:00,690.0,694.0,3.0,15.0,0.0,11382.0,65.0,684.0,680.0,0.0,N
78,7250.0,7200.0,7175.0, 60 months, 21.67%,197.51,F,F3,< 1 year,RENT,75000.0,Verified,Dec-2011,Fully Paid,debt_consolidation,CA,24.82,0.0,2000-05-01 00:00:00,680.0,684.0,2.0,9.0,1.0,21706.0,91.2,719.0,715.0,1.0,N
79,15000.0,15000.0,15000.0, 36 months,  7.90%,469.36,A,A4,1 year,MORTGAGE,52000.0,Not Verified,Dec-2011,Fully Paid,small_business,TX,9.65,0.0,2003-11-01 00:00:00,765.0,769.0,1.0,11.0,0.0,1616.0,6.7,724.0,720.0,0.0,N
80,18000.0,18000.0,18000.0, 60 months, 19.91%,475.99,E,E4,10+ years,MORTGAGE,65000.0,Not Verified,Dec-2011,Fully Paid,debt_consolidation,FL,6.81,0.0,1989-06-01 00:00:00,660.0,664.0,0.0,10.0,0.0,11745.0,77.8,709.0,705.0,0.0,N
81,35000.0,22075.0,22050.0, 60 months, 17.27%,551.84,D,D3,3 years,MORTGAGE,150000.0,Verified,Dec-2011,Fully Paid,home_improvement,NY,7.51,0.0,2003-06-01 00:00:00,725.0,729.0,1.0,11.0,0.0,7334.0,53.3,694.0,690.0,0.0,N
82,10000.0,10000.0,10000.0, 36 months, 14.27%,343.09,C,C2,2 years,RENT,68000.0,Source Verified,Dec-2011,Fully Paid,credit_card,PA,15.39,0.0,2006-07-01 00:00:00,680.0,684.0,1.0,9.0,0.0,11303.0,81.3,694.0,690.0,0.0,N
83,11800.0,11800.0,11800.0, 36 months, 12.69%,395.83,B,B5,6 years,RENT,42000.0,Source Verified,Dec-2011,Fully Paid,credit_card,NY,9.86,0.0,1996-10-01 00:00:00,690.0,694.0,0.0,4.0,0.0,8940.0,74.8,689.0,685.0,0.0,N
84,4500.0,4500.0,4500.0, 36 months,  6.03%,136.96,A,A1,4 years,RENT,53000.0,Source Verified,Dec-2011,Fully Paid,major_purchase,CA,4.44,0.0,2000-10-01 00:00:00,760.0,764.0,0.0,7.0,0.0,8630.0,13.9,789.0,785.0,0.0,N
85,7000.0,7000.0,7000.0, 36 months, 12.69%,234.82,B,B5,10+ years,RENT,35000.0,Source Verified,Dec-2011,Fully Paid,credit_card,CA,11.35,0.0,2000-05-01 00:00:00,680.0,684.0,2.0,10.0,0.0,7649.0,82.3,574.0,570.0,0.0,N
86,9200.0,9200.0,9200.0, 36 months, 12.42%,307.43,B,B4,2 years,RENT,60000.0,Source Verified,Dec-2011,Fully Paid,debt_consolidation,CA,19.96,0.0,2002-10-01 00:00:00,700.0,704.0,3.0,8.0,0.0,23299.0,78.7,789.0,785.0,0.0,N
87,14000.0,14000.0,13975.0, 60 months, 17.27%,349.98,D,D3,4 years,RENT,28000.0,Verified,Dec-2011,Fully Paid,other,WA,6.34,0.0,2005-07-01 00:00:00,700.0,704.0,2.0,5.0,0.0,6986.0,79.4,669.0,665.0,0.0,N
88,4500.0,4500.0,4475.0, 60 months, 10.65%,97.06,B,B2,< 1 year,MORTGAGE,42000.0,Source Verified,Dec-2011,Fully Paid,car,TX,5.4,0.0,1983-02-01 00:00:00,750.0,754.0,0.0,4.0,0.0,8220.0,78.3,754.0,750.0,0.0,N
89,12000.0,12000.0,12000.0, 36 months, 16.29%,423.61,D,D1,9 years,RENT,88365.0,Verified,Dec-2011,Fully Paid,debt_consolidation,AZ,16.85,0.0,1996-10-01 00:00:00,680.0,684.0,0.0,6.0,0.0,22936.0,96.4,499.0,0.0,0.0,N
90,12000.0,12000.0,12000.0, 36 months, 13.49%,407.17,C,C1,4 years,RENT,72000.0,Source Verified,Dec-2011,Fully Paid,debt_consolidation,CA,21.33,0.0,2003-05-01 00:00:00,685.0,689.0,1.0,11.0,0.0,3419.0,27.6,714.0,710.0,0.0,N
91,12000.0,12000.0,12000.0, 36 months, 10.65%,390.88,B,B2,< 1 year,RENT,62000.0,Verified,Dec-2011,Fully Paid,credit_card,TX,23.94,0.0,2002-06-01 00:00:00,700.0,704.0,0.0,10.0,0.0,20310.0,78.4,679.0,675.0,0.0,N
92,7000.0,7000.0,7000.0, 36 months, 10.65%,228.02,B,B2,3 years,MORTGAGE,43680.0,Not Verified,Dec-2011,Fully Paid,credit_card,MN,5.38,0.0,2000-10-01 00:00:00,685.0,689.0,0.0,7.0,0.0,6245.0,78.1,819.0,815.0,0.0,N
93,8200.0,8200.0,8200.0, 60 months, 19.42%,214.62,E,E3,3 years,RENT,120000.0,Source Verified,Dec-2011,Fully Paid,debt_consolidation,NY,2.8,0.0,2007-06-01 00:00:00,685.0,689.0,2.0,5.0,0.0,10392.0,88.4,714.0,710.0,0.0,N
94,10500.0,10500.0,10500.0, 36 months, 12.69%,352.23,B,B5,10+ years,RENT,66000.0,Verified,Dec-2011,Fully Paid,medical,CA,20.73,1.0,1998-09-01 00:00:00,695.0,699.0,2.0,8.0,0.0,5790.0,51.2,704.0,700.0,0.0,N
